"epoch","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.total","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.total__MIN","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.total__MAX","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.total","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.total__MIN","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.total__MAX","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.total","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.total__MIN","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.total__MAX"
"167","498","498","498","10580","10580","10580","498","498","498","5138","5138","5138","498","498","498","1323","1323","1323"
"168","501","501","501","10566","10566","10566","501","501","501","5134","5134","5134","501","501","501","1323","1323","1323"
"169","504","504","504","10555","10555","10555","504","504","504","5130","5130","5130","504","504","504","1321","1321","1321"
"170","507","507","507","10548","10548","10548","507","507","507","5127","5127","5127","507","507","507","1319","1319","1319"
"171","510","510","510","10534","10534","10534","510","510","510","5122","5122","5122","510","510","510","1319","1319","1319"
"172","513","513","513","10525","10525","10525","513","513","513","5113","5113","5113","513","513","513","1319","1319","1319"
"173","516","516","516","10516","10516","10516","516","516","516","5105","5105","5105","516","516","516","1318","1318","1318"
"174","519","519","519","10501","10501","10501","519","519","519","5097","5097","5097","519","519","519","1318","1318","1318"
"175","522","522","522","10485","10485","10485","522","522","522","5093","5093","5093","522","522","522","1317","1317","1317"
"176","525","525","525","10475","10475","10475","525","525","525","5089","5089","5089","525","525","525","1317","1317","1317"
"177","528","528","528","10463","10463","10463","528","528","528","5085","5085","5085","528","528","528","1315","1315","1315"
"178","531","531","531","10450","10450","10450","531","531","531","5078","5078","5078","531","531","531","1314","1314","1314"
"179","534","534","534","10444","10444","10444","534","534","534","5075","5075","5075","534","534","534","1313","1313","1313"
"180","537","537","537","10435","10435","10435","537","537","537","5071","5071","5071","537","537","537","1312","1312","1312"
"181","540","540","540","10427","10427","10427","540","540","540","5064","5064","5064","540","540","540","1311","1311","1311"
"182","543","543","543","10407","10407","10407","543","543","543","5057","5057","5057","543","543","543","1311","1311","1311"
