"epoch","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MIN","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MAX","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params__MIN","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params__MAX","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MIN","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MAX","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params__MIN","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params__MAX","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MIN","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MAX","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params__MIN","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params__MAX"
"113","338","338","338","30400120","30400120","30400120","338","338","338","34460320","34460320","34460320","338","338","338","39894098","39894098","39894098"
"114","341","341","341","30381688","30381688","30381688","341","341","341","34452640","34452640","34452640","341","341","341","39894098","39894098","39894098"
"115","344","344","344","30363000","30363000","30363000","344","344","344","34434464","34434464","34434464","344","344","344","39893074","39893074","39893074"
"116","347","347","347","30348920","30348920","30348920","347","347","347","34420896","34420896","34420896","347","347","347","39890514","39890514","39890514"
"117","350","350","350","30342008","30342008","30342008","350","350","350","34418336","34418336","34418336","350","350","350","39885906","39885906","39885906"
"118","353","353","353","30331000","30331000","30331000","353","353","353","34406048","34406048","34406048","353","353","353","39885906","39885906","39885906"
"119","356","356","356","30320504","30320504","30320504","356","356","356","34398112","34398112","34398112","356","356","356","39883858","39883858","39883858"
"120","359","359","359","30305400","30305400","30305400","359","359","359","34392736","34392736","34392736","359","359","359","39882834","39882834","39882834"
"121","362","362","362","30286200","30286200","30286200","362","362","362","34386848","34386848","34386848","362","362","362","39880274","39880274","39880274"
"122","365","365","365","30270584","30270584","30270584","365","365","365","34380704","34380704","34380704","365","365","365","39879250","39879250","39879250"
"123","368","368","368","30262136","30262136","30262136","368","368","368","34373024","34373024","34373024","368","368","368","39876690","39876690","39876690"
"124","371","371","371","30247544","30247544","30247544","371","371","371","34364832","34364832","34364832","371","371","371","39874642","39874642","39874642"
"125","374","374","374","30230648","30230648","30230648","374","374","374","34351264","34351264","34351264","374","374","374","39871058","39871058","39871058"
"126","377","377","377","30219384","30219384","30219384","377","377","377","34346400","34346400","34346400","377","377","377","39868498","39868498","39868498"
