"epoch","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MIN","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MAX","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total__MIN","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total__MAX","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MIN","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MAX","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total__MIN","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total__MAX"
"111","330","330","330","11117","11117","11117","330","330","330","5393","5393","5393","330","330","330","1381","1381","1381"
"112","333","333","333","11107","11107","11107","333","333","333","5387","5387","5387","333","333","333","1380","1380","1380"
"113","336","336","336","11097","11097","11097","336","336","336","5381","5381","5381","336","336","336","1380","1380","1380"
"114","339","339","339","11085","11085","11085","339","339","339","5376","5376","5376","339","339","339","1380","1380","1380"
"115","342","342","342","11071","11071","11071","342","342","342","5364","5364","5364","342","342","342","1379","1379","1379"
"116","345","345","345","11060","11060","11060","345","345","345","5355","5355","5355","345","345","345","1378","1378","1378"
"117","348","348","348","11055","11055","11055","348","348","348","5354","5354","5354","348","348","348","1375","1375","1375"
"118","351","351","351","11046","11046","11046","351","351","351","5346","5346","5346","351","351","351","1375","1375","1375"
"119","354","354","354","11035","11035","11035","354","354","354","5340","5340","5340","354","354","354","1373","1373","1373"
"120","357","357","357","11021","11021","11021","357","357","357","5337","5337","5337","357","357","357","1372","1372","1372"
"121","360","360","360","11006","11006","11006","360","360","360","5333","5333","5333","360","360","360","1371","1371","1371"
"122","363","363","363","10993","10993","10993","363","363","363","5329","5329","5329","363","363","363","1370","1370","1370"
"123","366","366","366","10984","10984","10984","366","366","366","5324","5324","5324","366","366","366","1369","1369","1369"
"124","369","369","369","10973","10973","10973","369","369","369","5317","5317","5317","369","369","369","1367","1367","1367"
"125","372","372","372","10959","10959","10959","372","372","372","5308","5308","5308","372","372","372","1365","1365","1365"
"126","375","375","375","10950","10950","10950","375","375","375","5303","5303","5303","375","375","375","1364","1364","1364"
"127","378","378","378","10942","10942","10942","378","378","378","5300","5300","5300","378","378","378","1364","1364","1364"
"128","381","381","381","10932","10932","10932","381","381","381","5297","5297","5297","381","381","381","1363","1363","1363"
"129","384","384","384","10923","10923","10923","384","384","384","5291","5291","5291","384","384","384","1363","1363","1363"
"130","387","387","387","10914","10914","10914","387","387","387","5291","5291","5291","387","387","387","1362","1362","1362"
"131","390","390","390","10902","10902","10902","390","390","390","5285","5285","5285","390","390","390","1361","1361","1361"
"132","393","393","393","10887","10887","10887","393","393","393","5278","5278","5278","393","393","393","1359","1359","1359"
"133","396","396","396","10877","10877","10877","396","396","396","5272","5272","5272","396","396","396","1358","1358","1358"
"134","399","399","399","10862","10862","10862","399","399","399","5269","5269","5269","399","399","399","1355","1355","1355"
"135","402","402","402","10853","10853","10853","402","402","402","5264","5264","5264","402","402","402","1352","1352","1352"
"136","405","405","405","10837","10837","10837","405","405","405","5261","5261","5261","405","405","405","1351","1351","1351"
"137","408","408","408","10823","10823","10823","408","408","408","5256","5256","5256","408","408","408","1349","1349","1349"
"138","411","411","411","10810","10810","10810","411","411","411","5251","5251","5251","411","411","411","1349","1349","1349"
"139","414","414","414","10803","10803","10803","414","414","414","5249","5249","5249","414","414","414","1349","1349","1349"
"140","417","417","417","10788","10788","10788","417","417","417","5243","5243","5243","417","417","417","1348","1348","1348"
"141","420","420","420","10778","10778","10778","420","420","420","5241","5241","5241","420","420","420","1346","1346","1346"
"142","423","423","423","10769","10769","10769","423","423","423","5233","5233","5233","423","423","423","1345","1345","1345"
"143","426","426","426","10761","10761","10761","426","426","426","5231","5231","5231","426","426","426","1343","1343","1343"
"144","429","429","429","10754","10754","10754","429","429","429","5226","5226","5226","429","429","429","1339","1339","1339"
"145","432","432","432","10741","10741","10741","432","432","432","5219","5219","5219","432","432","432","1337","1337","1337"
"146","435","435","435","10723","10723","10723","435","435","435","5206","5206","5206","435","435","435","1336","1336","1336"
"147","438","438","438","10713","10713","10713","438","438","438","5202","5202","5202","438","438","438","1335","1335","1335"
"148","441","441","441","10698","10698","10698","441","441","441","5197","5197","5197","441","441","441","1332","1332","1332"
"149","444","444","444","10686","10686","10686","444","444","444","5190","5190","5190","444","444","444","1331","1331","1331"
"150","447","447","447","10677","10677","10677","447","447","447","5186","5186","5186","447","447","447","1330","1330","1330"
"151","450","450","450","10671","10671","10671","450","450","450","5180","5180","5180","450","450","450","1330","1330","1330"
"152","453","453","453","10663","10663","10663","453","453","453","5175","5175","5175","453","453","453","1329","1329","1329"
"153","456","456","456","10646","10646","10646","456","456","456","5167","5167","5167","456","456","456","1329","1329","1329"
"154","459","459","459","10630","10630","10630","459","459","459","5161","5161","5161","459","459","459","1328","1328","1328"
"155","462","462","462","10616","10616","10616","462","462","462","5158","5158","5158","462","462","462","1326","1326","1326"
"156","465","465","465","10602","10602","10602","465","465","465","5154","5154","5154","465","465","465","1324","1324","1324"
"157","468","468","468","10590","10590","10590","468","468","468","5149","5149","5149","468","468","468","1324","1324","1324"
"158","471","471","471","10579","10579","10579","471","471","471","5143","5143","5143","471","471","471","1323","1323","1323"
"159","474","474","474","10571","10571","10571","474","474","474","5139","5139","5139","474","474","474","1322","1322","1322"
"160","477","477","477","10554","10554","10554","477","477","477","5134","5134","5134","477","477","477","1321","1321","1321"
"161","480","480","480","10543","10543","10543","480","480","480","5132","5132","5132","480","480","480","1320","1320","1320"
"162","483","483","483","10533","10533","10533","483","483","483","5123","5123","5123","483","483","483","1320","1320","1320"
"163","486","486","486","10520","10520","10520","486","486","486","5115","5115","5115","486","486","486","1320","1320","1320"
"164","489","489","489","10507","10507","10507","489","489","489","5108","5108","5108","489","489","489","1319","1319","1319"
"165","492","492","492","10494","10494","10494","492","492","492","5104","5104","5104","492","492","492","1318","1318","1318"
"166","495","495","495","10484","10484","10484","495","495","495","5097","5097","5097","495","495","495","1318","1318","1318"
"167","498","498","498","10471","10471","10471","498","498","498","5094","5094","5094","498","498","498","1318","1318","1318"
"168","501","501","501","10458","10458","10458","501","501","501","5086","5086","5086","501","501","501","1317","1317","1317"
"169","504","504","504","10451","10451","10451","504","504","504","5084","5084","5084","504","504","504","1314","1314","1314"
"170","507","507","507","10437","10437","10437","507","507","507","5079","5079","5079","507","507","507","1313","1313","1313"
"171","510","510","510","10430","10430","10430","510","510","510","5075","5075","5075","510","510","510","1312","1312","1312"
"172","513","513","513","10415","10415","10415","513","513","513","5068","5068","5068","513","513","513","1312","1312","1312"
"173","516","516","516","10400","10400","10400","516","516","516","5061","5061","5061","516","516","516","1312","1312","1312"
"174","519","519","519","10389","10389","10389","519","519","519","5057","5057","5057","519","519","519","1311","1311","1311"
"175","522","522","522","10378","10378","10378","522","522","522","5049","5049","5049","522","522","522","1310","1310","1310"
"176","525","525","525","10367","10367","10367","525","525","525","5042","5042","5042","525","525","525","1309","1309","1309"
"177","528","528","528","10356","10356","10356","528","528","528","5039","5039","5039","528","528","528","1306","1306","1306"
"178","531","531","531","10349","10349","10349","531","531","531","5034","5034","5034","531","531","531","1306","1306","1306"
"179","534","534","534","10333","10333","10333","534","534","534","5030","5030","5030","534","534","534","1306","1306","1306"
"180","537","537","537","10319","10319","10319","537","537","537","5020","5020","5020","537","537","537","1303","1303","1303"
"181","540","540","540","10305","10305","10305","540","540","540","5013","5013","5013","540","540","540","1300","1300","1300"
"182","543","543","543","10292","10292","10292","543","543","543","5009","5009","5009","543","543","543","1297","1297","1297"
"183","546","546","546","10276","10276","10276","546","546","546","5002","5002","5002","546","546","546","1295","1295","1295"
"184","549","549","549","10261","10261","10261","549","549","549","4990","4990","4990","549","549","549","1295","1295","1295"
"185","552","552","552","10250","10250","10250","552","552","552","4984","4984","4984","552","552","552","1293","1293","1293"
"186","555","555","555","10237","10237","10237","555","555","555","4980","4980","4980","555","555","555","1293","1293","1293"
"187","558","558","558","10221","10221","10221","558","558","558","4972","4972","4972","558","558","558","1293","1293","1293"
"188","561","561","561","10206","10206","10206","561","561","561","4963","4963","4963","561","561","561","1293","1293","1293"
"189","564","564","564","10196","10196","10196","564","564","564","4957","4957","4957","564","564","564","1291","1291","1291"
"190","567","567","567","10189","10189","10189","567","567","567","4955","4955","4955","567","567","567","1290","1290","1290"
"191","570","570","570","10182","10182","10182","570","570","570","4949","4949","4949","570","570","570","1290","1290","1290"
"192","573","573","573","10172","10172","10172","573","573","573","4948","4948","4948","573","573","573","1288","1288","1288"
"193","576","576","576","10153","10153","10153","576","576","576","4938","4938","4938","576","576","576","1287","1287","1287"
"194","579","579","579","10142","10142","10142","579","579","579","4930","4930","4930","579","579","579","1287","1287","1287"
"195","582","582","582","10126","10126","10126","582","582","582","4924","4924","4924","582","582","582","1285","1285","1285"
"196","585","585","585","10117","10117","10117","585","585","585","4916","4916","4916","585","585","585","1285","1285","1285"
"197","588","588","588","10107","10107","10107","588","588","588","4907","4907","4907","588","588","588","1285","1285","1285"
"198","591","591","591","10090","10090","10090","591","591","591","4904","4904","4904","591","591","591","1285","1285","1285"
"199","594","594","594","10074","10074","10074","594","594","594","4902","4902","4902","594","594","594","1284","1284","1284"
