"Step","MLConv[R=400]-Resnet101-CIFAR10-25 - val_accuracy","MLConv[R=400]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MLConv[R=400]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MLConv[R=200]-Resnet101-CIFAR10-25 - val_accuracy","MLConv[R=200]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MLConv[R=200]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MLConv[R=100]-Resnet101-CIFAR10-25 - val_accuracy","MLConv[R=100]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MLConv[R=100]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MLConv[R=1]-Resnet101-CIFAR10-25 - val_accuracy","MLConv[R=1]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MLConv[R=1]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MTL[T=60]-Resnet101-CIFAR10-25 - val_accuracy","MTL[T=60]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MTL[T=60]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MTL[T=45]-Resnet101-CIFAR10-25 - val_accuracy","MTL[T=45]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MTL[T=45]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MTL[T=30]-Resnet101-CIFAR10-25 - val_accuracy","MTL[T=30]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MTL[T=30]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MTL[T=15]-Resnet101-CIFAR10-25 - val_accuracy","MTL[T=15]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MTL[T=15]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MTL[T=3]-Resnet101-CIFAR10-25 - val_accuracy","MTL[T=3]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MTL[T=3]-Resnet101-CIFAR10-25 - val_accuracy__MAX","Resnet101-CIFAR10-25 - val_accuracy","Resnet101-CIFAR10-25 - val_accuracy__MIN","Resnet101-CIFAR10-25 - val_accuracy__MAX"
"54","58.67","58.67","58.67","60.68","60.68","60.68","67.6","67.6","67.6","27.82","27.82","27.82","69.12","69.12","69.12","68.56","68.56","68.56","70.63","70.63","70.63","72.3","72.3","72.3","70.29","70.29","70.29","69.17","69.17","69.17"
"55","61.86","61.86","61.86","48.95","48.95","48.95","62.28","62.28","62.28","29.98","29.98","29.98","72.8","72.8","72.8","65.44","65.44","65.44","71.77","71.77","71.77","65.79","65.79","65.79","71.33","71.33","71.33","67.39","67.39","67.39"
"56","26.31","26.31","26.31","52.01","52.01","52.01","54.6","54.6","54.6","27.57","27.57","27.57","66.78","66.78","66.78","70.06","70.06","70.06","67.21","67.21","67.21","70.11","70.11","70.11","65.62","65.62","65.62","65.24","65.24","65.24"
"57","53.46","53.46","53.46","62.98","62.98","62.98","63.61","63.61","63.61","14.4","14.4","14.4","68.03","68.03","68.03","64.69","64.69","64.69","69.99","69.99","69.99","69","69","69","71.29","71.29","71.29","66.84","66.84","66.84"
"58","56.87","56.87","56.87","56.63","56.63","56.63","66.35","66.35","66.35","20.77","20.77","20.77","67.93","67.93","67.93","65.27","65.27","65.27","72.38","72.38","72.38","62.67","62.67","62.67","61.62","61.62","61.62","70.12","70.12","70.12"
"59","50.41","50.41","50.41","59.16","59.16","59.16","67.85","67.85","67.85","24.87","24.87","24.87","71.79","71.79","71.79","68.75","68.75","68.75","70.4","70.4","70.4","72.37","72.37","72.37","68.86","68.86","68.86","69.92","69.92","69.92"
"60","56.26","56.26","56.26","55.92","55.92","55.92","61.62","61.62","61.62","26.34","26.34","26.34","70.14","70.14","70.14","69.71","69.71","69.71","69.48","69.48","69.48","70.59","70.59","70.59","67.76","67.76","67.76","70.95","70.95","70.95"
"61","58.97","58.97","58.97","57.7","57.7","57.7","54.56","54.56","54.56","26.62","26.62","26.62","71.87","71.87","71.87","72.43","72.43","72.43","67.37","67.37","67.37","70.26","70.26","70.26","69.93","69.93","69.93","70","70","70"
"62","47.93","47.93","47.93","57.96","57.96","57.96","63.79","63.79","63.79","21.65","21.65","21.65","69.57","69.57","69.57","69.75","69.75","69.75","71.68","71.68","71.68","71.03","71.03","71.03","69.88","69.88","69.88","71.16","71.16","71.16"
"63","65.59","65.59","65.59","57.98","57.98","57.98","63.8","63.8","63.8","24.02","24.02","24.02","70.04","70.04","70.04","68.18","68.18","68.18","63.22","63.22","63.22","68.74","68.74","68.74","66.34","66.34","66.34","66.62","66.62","66.62"
"64","67.5","67.5","67.5","58.01","58.01","58.01","53.07","53.07","53.07","22.46","22.46","22.46","73.48","73.48","73.48","68.37","68.37","68.37","72.11","72.11","72.11","73.4","73.4","73.4","70.93","70.93","70.93","72.35","72.35","72.35"
"65","42.21","42.21","42.21","55.28","55.28","55.28","59.62","59.62","59.62","14.05","14.05","14.05","71.77","71.77","71.77","67.28","67.28","67.28","52.26","52.26","52.26","68.2","68.2","68.2","72.97","72.97","72.97","71.13","71.13","71.13"
"66","61.51","61.51","61.51","62.88","62.88","62.88","68.28","68.28","68.28","10.44","10.44","10.44","70.37","70.37","70.37","70.51","70.51","70.51","71.9","71.9","71.9","71.48","71.48","71.48","69.2","69.2","69.2","72.28","72.28","72.28"
"67","61.86","61.86","61.86","59.31","59.31","59.31","54.09","54.09","54.09","28.04","28.04","28.04","66.88","66.88","66.88","69.42","69.42","69.42","68.93","68.93","68.93","67.35","67.35","67.35","67.95","67.95","67.95","63.47","63.47","63.47"
"68","64.04","64.04","64.04","67.25","67.25","67.25","56.6","56.6","56.6","27.99","27.99","27.99","71.93","71.93","71.93","67.39","67.39","67.39","69.09","69.09","69.09","74.05","74.05","74.05","72.46","72.46","72.46","70.14","70.14","70.14"
"69","38.91","38.91","38.91","58","58","58","63.03","63.03","63.03","23.02","23.02","23.02","72.33","72.33","72.33","66.76","66.76","66.76","69.4","69.4","69.4","66.71","66.71","66.71","70.2","70.2","70.2","70.74","70.74","70.74"
"70","57.96","57.96","57.96","62.78","62.78","62.78","66.72","66.72","66.72","27.03","27.03","27.03","71.75","71.75","71.75","71.42","71.42","71.42","72.31","72.31","72.31","71.33","71.33","71.33","69.12","69.12","69.12","63.48","63.48","63.48"
"71","54.42","54.42","54.42","56.12","56.12","56.12","67.7","67.7","67.7","29.96","29.96","29.96","71.29","71.29","71.29","72.44","72.44","72.44","71.25","71.25","71.25","72.27","72.27","72.27","70.87","70.87","70.87","67.95","67.95","67.95"
