"Step","MTL[t=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[t=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[t=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLConv[R=100]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=100]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=100]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLConv[R=50]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=50]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=50]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[t=23]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[t=23]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[t=23]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLConv[R=150]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=150]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=150]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLConv[R=1]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=1]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=1]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[t=30]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[t=30]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[t=30]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[t=36]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[t=36]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[t=36]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[t=16]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[t=16]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[t=16]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX"
"45","0.3965","0.3965","0.3965","0.43041","0.43041","0.43041","0.40221","0.40221","0.40221","0.33329","0.33329","0.33329","0.40209","0.40209","0.40209","0.33379","0.33379","0.33379","0.03355","0.03355","0.03355","0","0","0","0","0","0","0.43701","0.43701","0.43701"
"46","0.41043","0.41043","0.41043","0.39493","0.39493","0.39493","0.38637","0.38637","0.38637","0.3474","0.3474","0.3474","0.40608","0.40608","0.40608","0.36058","0.36058","0.36058","0.06021","0.06021","0.06021","0","0","0","0","0","0","0.40651","0.40651","0.40651"
"47","0.40307","0.40307","0.40307","0.40834","0.40834","0.40834","0.37653","0.37653","0.37653","0.34464","0.34464","0.34464","0.40294","0.40294","0.40294","0.3783","0.3783","0.3783","0.02528","0.02528","0.02528","0","0","0","0","0","0","0.40712","0.40712","0.40712"
"48","0.41986","0.41986","0.41986","0.40778","0.40778","0.40778","0.39575","0.39575","0.39575","0.39369","0.39369","0.39369","0.40613","0.40613","0.40613","0.39731","0.39731","0.39731","0.03102","0.03102","0.03102","0","0","0","0","0","0","0.46684","0.46684","0.46684"
"49","0.44789","0.44789","0.44789","0.42568","0.42568","0.42568","0.38464","0.38464","0.38464","0.36845","0.36845","0.36845","0.43367","0.43367","0.43367","0.41061","0.41061","0.41061","0.03045","0.03045","0.03045","0.00239","0.00239","0.00239","0","0","0","0.4152","0.4152","0.4152"
"50","0.44251","0.44251","0.44251","0.44348","0.44348","0.44348","0.37563","0.37563","0.37563","0.2987","0.2987","0.2987","0.41229","0.41229","0.41229","0.37707","0.37707","0.37707","0.03373","0.03373","0.03373","0","0","0","0","0","0","0.4219","0.4219","0.4219"
"51","0.44995","0.44995","0.44995","0.38719","0.38719","0.38719","0.38952","0.38952","0.38952","0.28489","0.28489","0.28489","0.40458","0.40458","0.40458","0.37352","0.37352","0.37352","0.03133","0.03133","0.03133","0","0","0","0","0","0","0.46749","0.46749","0.46749"
"52","0.45403","0.45403","0.45403","0.41057","0.41057","0.41057","0.39646","0.39646","0.39646","0.36268","0.36268","0.36268","0.4321","0.4321","0.4321","0.36845","0.36845","0.36845","0.04185","0.04185","0.04185","0","0","0","0","0","0","0.39877","0.39877","0.39877"
"53","0.46348","0.46348","0.46348","0.4185","0.4185","0.4185","0.38455","0.38455","0.38455","0.39014","0.39014","0.39014","0.45358","0.45358","0.45358","0.41798","0.41798","0.41798","0.03351","0.03351","0.03351","0","0","0","0","0","0","0.44203","0.44203","0.44203"
"54","0.49814","0.49814","0.49814","0.44148","0.44148","0.44148","0.38405","0.38405","0.38405","0.37091","0.37091","0.37091","0.45608","0.45608","0.45608","0.40955","0.40955","0.40955","0.03251","0.03251","0.03251","0.03342","0.03342","0.03342","0","0","0","0.42869","0.42869","0.42869"
"55","0.48157","0.48157","0.48157","0.42162","0.42162","0.42162","0.42657","0.42657","0.42657","0.39046","0.39046","0.39046","0.4449","0.4449","0.4449","0.42919","0.42919","0.42919","0.06489","0.06489","0.06489","0.06673","0.06673","0.06673","0.01695","0.01695","0.01695","0.45414","0.45414","0.45414"
"56","0.46852","0.46852","0.46852","0.44154","0.44154","0.44154","0.39048","0.39048","0.39048","0.3692","0.3692","0.3692","0.41008","0.41008","0.41008","0.33447","0.33447","0.33447","0.05863","0.05863","0.05863","0.03338","0.03338","0.03338","0","0","0","0.41125","0.41125","0.41125"
"57","0.4779","0.4779","0.4779","0.43863","0.43863","0.43863","0.41254","0.41254","0.41254","0.35061","0.35061","0.35061","0.44033","0.44033","0.44033","0.40254","0.40254","0.40254","0.05363","0.05363","0.05363","0.06677","0.06677","0.06677","0","0","0","0.50647","0.50647","0.50647"
"58","0.48547","0.48547","0.48547","0.45654","0.45654","0.45654","0.3951","0.3951","0.3951","0.39232","0.39232","0.39232","0.44656","0.44656","0.44656","0.39434","0.39434","0.39434","0.08947","0.08947","0.08947","0","0","0","0","0","0","0.4055","0.4055","0.4055"
"59","0.44869","0.44869","0.44869","0.41354","0.41354","0.41354","0.39052","0.39052","0.39052","0.39706","0.39706","0.39706","0.4558","0.4558","0.4558","0.40371","0.40371","0.40371","0.02717","0.02717","0.02717","0.03338","0.03338","0.03338","0","0","0","0.44635","0.44635","0.44635"
